subj,item,type,pos,word,correct,rt,region,type2
15,1,obj-ext,6,揍,NA,851,de1,object relative
15,15,obj-ext,6,讚美,NA,920,de1,object relative
15,11,obj-ext,6,揍,NA,610,de1,object relative
15,14,subj-ext,6,機師,NA,572,de1,subject relative
15,5,obj-ext,6,撞,NA,995,de1,object relative
15,2,subj-ext,6,重型機車,NA,759,de1,subject relative
15,10,subj-ext,6,房東,NA,1397,de1,subject relative
15,16,subj-ext,6,作家,NA,632,de1,subject relative
15,8,subj-ext,6,職業選手,NA,746,de1,subject relative
16,16,obj-ext,6,訪問,NA,868,de1,object relative
16,2,obj-ext,6,追,NA,865,de1,object relative
16,13,subj-ext,6,女人,NA,741,de1,subject relative
16,15,subj-ext,6,導演,NA,801,de1,subject relative
16,5,subj-ext,6,休旅車,NA,758,de1,subject relative
16,8,obj-ext,6,推,NA,947,de1,object relative
16,4,obj-ext,6,打,NA,687,de1,object relative
16,1,subj-ext,6,酒吧少爺,NA,698,de1,subject relative
16,9,subj-ext,6,職業殺手,NA,907,de1,subject relative
16,14,obj-ext,6,約,NA,686,de1,object relative
16,11,subj-ext,6,教練,NA,1312,de1,subject relative
16,3,subj-ext,6,高中女學生,NA,746,de1,subject relative
16,7,subj-ext,6,男孩,NA,638,de1,subject relative
16,10,obj-ext,6,抱怨,NA,861,de1,object relative
16,6,obj-ext,6,邀請,NA,560,de1,object relative
17,16,subj-ext,6,作家,NA,1601,de1,subject relative
17,5,obj-ext,6,撞,NA,1514,de1,object relative
17,6,subj-ext,6,男孩,NA,1211,de1,subject relative
17,7,obj-ext,6,救,NA,1154,de1,object relative
17,2,subj-ext,6,重型機車,NA,974,de1,subject relative
17,10,subj-ext,6,房東,NA,2301,de1,subject relative
17,3,obj-ext,6,推,NA,954,de1,object relative
17,8,subj-ext,6,職業選手,NA,1154,de1,subject relative
17,14,subj-ext,6,機師,NA,714,de1,subject relative
17,15,obj-ext,6,讚美,NA,875,de1,object relative
17,9,obj-ext,6,監視,NA,1004,de1,object relative
17,13,obj-ext,6,抓住,NA,912,de1,object relative
17,1,obj-ext,6,揍,NA,764,de1,object relative
17,11,obj-ext,6,揍,NA,860,de1,object relative
17,4,subj-ext,6,男孩,NA,833,de1,subject relative
18,1,subj-ext,6,酒吧少爺,NA,955,de1,subject relative
18,11,subj-ext,6,教練,NA,1758,de1,subject relative
18,15,subj-ext,6,導演,NA,868,de1,subject relative
18,5,subj-ext,6,休旅車,NA,1894,de1,subject relative
18,3,subj-ext,6,高中女學生,NA,1173,de1,subject relative
18,8,obj-ext,6,推,NA,1052,de1,object relative
18,14,obj-ext,6,約,NA,972,de1,object relative
18,10,obj-ext,6,抱怨,NA,1076,de1,object relative
18,6,obj-ext,6,邀請,NA,788,de1,object relative
18,4,obj-ext,6,打,NA,643,de1,object relative
18,9,subj-ext,6,職業殺手,NA,1252,de1,subject relative
18,16,obj-ext,6,訪問,NA,668,de1,object relative
18,2,obj-ext,6,追,NA,876,de1,object relative
18,13,subj-ext,6,女人,NA,788,de1,subject relative
18,7,subj-ext,6,男孩,NA,676,de1,subject relative
19,7,obj-ext,6,救,NA,566,de1,object relative
19,13,obj-ext,6,抓住,NA,453,de1,object relative
19,10,subj-ext,6,房東,NA,407,de1,subject relative
19,9,obj-ext,6,監視,NA,614,de1,object relative
19,5,obj-ext,6,撞,NA,542,de1,object relative
19,2,subj-ext,6,重型機車,NA,442,de1,subject relative
19,16,subj-ext,6,作家,NA,396,de1,subject relative
19,3,obj-ext,6,推,NA,614,de1,object relative
19,11,obj-ext,6,揍,NA,365,de1,object relative
19,1,obj-ext,6,揍,NA,414,de1,object relative
19,6,subj-ext,6,男孩,NA,398,de1,subject relative
19,4,subj-ext,6,男孩,NA,395,de1,subject relative
19,8,subj-ext,6,職業選手,NA,465,de1,subject relative
19,14,subj-ext,6,機師,NA,388,de1,subject relative
19,15,obj-ext,6,讚美,NA,455,de1,object relative
2,6,obj-ext,6,邀請,NA,780,de1,object relative
2,15,subj-ext,6,導演,NA,620,de1,subject relative
2,11,subj-ext,6,教練,NA,540,de1,subject relative
2,5,subj-ext,6,休旅車,NA,579,de1,subject relative
2,16,obj-ext,6,訪問,NA,676,de1,object relative
2,13,subj-ext,6,女人,NA,764,de1,subject relative
2,14,obj-ext,6,約,NA,628,de1,object relative
2,3,subj-ext,6,高中女學生,NA,668,de1,subject relative
2,8,obj-ext,6,推,NA,764,de1,object relative
2,2,obj-ext,6,追,NA,676,de1,object relative
2,9,subj-ext,6,職業殺手,NA,508,de1,subject relative
2,10,obj-ext,6,抱怨,NA,1037,de1,object relative
2,7,subj-ext,6,男孩,NA,1044,de1,subject relative
2,1,subj-ext,6,酒吧少爺,NA,828,de1,subject relative
2,4,obj-ext,6,打,NA,2753,de1,object relative
20,10,obj-ext,6,抱怨,NA,963,de1,object relative
20,1,subj-ext,6,酒吧少爺,NA,1099,de1,subject relative
20,3,subj-ext,6,高中女學生,NA,1036,de1,subject relative
20,6,obj-ext,6,邀請,NA,640,de1,object relative
20,16,obj-ext,6,訪問,NA,773,de1,object relative
20,8,obj-ext,6,推,NA,1758,de1,object relative
20,4,obj-ext,6,打,NA,613,de1,object relative
20,14,obj-ext,6,約,NA,571,de1,object relative
20,5,subj-ext,6,休旅車,NA,822,de1,subject relative
20,7,subj-ext,6,男孩,NA,627,de1,subject relative
20,15,subj-ext,6,導演,NA,533,de1,subject relative
20,11,subj-ext,6,教練,NA,598,de1,subject relative
20,13,subj-ext,6,女人,NA,976,de1,subject relative
20,2,obj-ext,6,追,NA,489,de1,object relative
20,9,subj-ext,6,職業殺手,NA,563,de1,subject relative
21,9,obj-ext,6,監視,NA,1100,de1,object relative
21,7,obj-ext,6,救,NA,836,de1,object relative
21,11,obj-ext,6,揍,NA,676,de1,object relative
21,13,obj-ext,6,抓住,NA,708,de1,object relative
21,5,obj-ext,6,撞,NA,1156,de1,object relative
21,4,subj-ext,6,男孩,NA,548,de1,subject relative
21,10,subj-ext,6,房東,NA,1863,de1,subject relative
21,8,subj-ext,6,職業選手,NA,1085,de1,subject relative
21,2,subj-ext,6,重型機車,NA,1028,de1,subject relative
21,6,subj-ext,6,男孩,NA,860,de1,subject relative
21,1,obj-ext,6,揍,NA,691,de1,object relative
21,16,subj-ext,6,作家,NA,1477,de1,subject relative
21,3,obj-ext,6,推,NA,795,de1,object relative
21,14,subj-ext,6,機師,NA,482,de1,subject relative
21,15,obj-ext,6,讚美,NA,732,de1,object relative
22,13,subj-ext,6,女人,NA,1197,de1,subject relative
22,11,subj-ext,6,教練,NA,987,de1,subject relative
22,3,subj-ext,6,高中女學生,NA,1524,de1,subject relative
22,6,obj-ext,6,邀請,NA,870,de1,object relative
22,2,obj-ext,6,追,NA,1153,de1,object relative
22,16,obj-ext,6,訪問,NA,1552,de1,object relative
22,4,obj-ext,6,打,NA,719,de1,object relative
22,10,obj-ext,6,抱怨,NA,745,de1,object relative
22,5,subj-ext,6,休旅車,NA,2814,de1,subject relative
22,7,subj-ext,6,男孩,NA,1187,de1,subject relative
22,14,obj-ext,6,約,NA,1148,de1,object relative
22,1,subj-ext,6,酒吧少爺,NA,3060,de1,subject relative
22,15,subj-ext,6,導演,NA,1146,de1,subject relative
22,9,subj-ext,6,職業殺手,NA,3212,de1,subject relative
22,8,obj-ext,6,推,NA,906,de1,object relative
23,5,obj-ext,6,撞,NA,1044,de1,object relative
23,11,obj-ext,6,揍,NA,1060,de1,object relative
23,1,obj-ext,6,揍,NA,1445,de1,object relative
23,3,obj-ext,6,推,NA,964,de1,object relative
23,4,subj-ext,6,男孩,NA,708,de1,subject relative
23,16,subj-ext,6,作家,NA,1221,de1,subject relative
23,15,obj-ext,6,讚美,NA,980,de1,object relative
23,9,obj-ext,6,監視,NA,1598,de1,object relative
23,8,subj-ext,6,職業選手,NA,1926,de1,subject relative
23,2,subj-ext,6,重型機車,NA,1157,de1,subject relative
23,10,subj-ext,6,房東,NA,3618,de1,subject relative
23,6,subj-ext,6,男孩,NA,708,de1,subject relative
23,13,obj-ext,6,抓住,NA,1461,de1,object relative
23,7,obj-ext,6,救,NA,964,de1,object relative
23,14,subj-ext,6,機師,NA,812,de1,subject relative
24,5,subj-ext,6,休旅車,NA,1461,de1,subject relative
24,16,obj-ext,6,訪問,NA,1511,de1,object relative
24,14,obj-ext,6,約,NA,789,de1,object relative
24,8,obj-ext,6,推,NA,1911,de1,object relative
24,1,subj-ext,6,酒吧少爺,NA,1786,de1,subject relative
24,15,subj-ext,6,導演,NA,1738,de1,subject relative
24,11,subj-ext,6,教練,NA,1425,de1,subject relative
24,7,subj-ext,6,男孩,NA,836,de1,subject relative
24,6,obj-ext,6,邀請,NA,1795,de1,object relative
24,10,obj-ext,6,抱怨,NA,1288,de1,object relative
24,13,subj-ext,6,女人,NA,1759,de1,subject relative
24,2,obj-ext,6,追,NA,1117,de1,object relative
24,4,obj-ext,6,打,NA,1234,de1,object relative
24,9,subj-ext,6,職業殺手,NA,1253,de1,subject relative
24,3,subj-ext,6,高中女學生,NA,953,de1,subject relative
26,16,obj-ext,6,訪問,NA,972,de1,object relative
26,3,subj-ext,6,高中女學生,NA,804,de1,subject relative
26,15,subj-ext,6,導演,NA,812,de1,subject relative
26,4,obj-ext,6,打,NA,668,de1,object relative
26,8,obj-ext,6,推,NA,1044,de1,object relative
26,6,obj-ext,6,邀請,NA,684,de1,object relative
26,11,subj-ext,6,教練,NA,652,de1,subject relative
26,1,subj-ext,6,酒吧少爺,NA,1132,de1,subject relative
26,2,obj-ext,6,追,NA,981,de1,object relative
26,13,subj-ext,6,女人,NA,933,de1,subject relative
26,10,obj-ext,6,抱怨,NA,643,de1,object relative
26,7,subj-ext,6,男孩,NA,788,de1,subject relative
26,9,subj-ext,6,職業殺手,NA,780,de1,subject relative
26,5,subj-ext,6,休旅車,NA,676,de1,subject relative
26,14,obj-ext,6,約,NA,812,de1,object relative
27,3,obj-ext,6,推,NA,695,de1,object relative
27,8,subj-ext,6,職業選手,NA,1851,de1,subject relative
27,16,subj-ext,6,作家,NA,1589,de1,subject relative
27,9,obj-ext,6,監視,NA,1173,de1,object relative
27,1,obj-ext,6,揍,NA,1013,de1,object relative
27,15,obj-ext,6,讚美,NA,1115,de1,object relative
27,13,obj-ext,6,抓住,NA,1583,de1,object relative
28,11,subj-ext,6,教練,NA,1277,de1,subject relative
28,13,subj-ext,6,女人,NA,811,de1,subject relative
28,8,obj-ext,6,推,NA,1157,de1,object relative
28,9,subj-ext,6,職業殺手,NA,1012,de1,subject relative
28,3,subj-ext,6,高中女學生,NA,1077,de1,subject relative
28,4,obj-ext,6,打,NA,588,de1,object relative
28,6,obj-ext,6,邀請,NA,860,de1,object relative
28,7,subj-ext,6,男孩,NA,675,de1,subject relative
28,16,obj-ext,6,訪問,NA,716,de1,object relative
28,2,obj-ext,6,追,NA,2665,de1,object relative
28,14,obj-ext,6,約,NA,956,de1,object relative
28,15,subj-ext,6,導演,NA,668,de1,subject relative
28,10,obj-ext,6,抱怨,NA,3931,de1,object relative
28,5,subj-ext,6,休旅車,NA,2103,de1,subject relative
28,1,subj-ext,6,酒吧少爺,NA,972,de1,subject relative
29,3,obj-ext,6,推,NA,764,de1,object relative
29,5,obj-ext,6,撞,NA,660,de1,object relative
29,11,obj-ext,6,揍,NA,780,de1,object relative
29,1,obj-ext,6,揍,NA,667,de1,object relative
29,8,subj-ext,6,職業選手,NA,491,de1,subject relative
29,13,obj-ext,6,抓住,NA,612,de1,object relative
29,6,subj-ext,6,男孩,NA,442,de1,subject relative
29,7,obj-ext,6,救,NA,636,de1,object relative
29,10,subj-ext,6,房東,NA,419,de1,subject relative
29,16,subj-ext,6,作家,NA,435,de1,subject relative
29,15,obj-ext,6,讚美,NA,571,de1,object relative
29,2,subj-ext,6,重型機車,NA,410,de1,subject relative
29,9,obj-ext,6,監視,NA,467,de1,object relative
29,4,subj-ext,6,男孩,NA,387,de1,subject relative
29,14,subj-ext,6,機師,NA,362,de1,subject relative
3,10,subj-ext,6,房東,NA,1023,de1,subject relative
3,14,subj-ext,6,機師,NA,856,de1,subject relative
3,5,obj-ext,6,撞,NA,2862,de1,object relative
3,11,obj-ext,6,揍,NA,592,de1,object relative
3,16,subj-ext,6,作家,NA,1191,de1,subject relative
3,6,subj-ext,6,男孩,NA,778,de1,subject relative
3,8,subj-ext,6,職業選手,NA,1145,de1,subject relative
3,9,obj-ext,6,監視,NA,873,de1,object relative
3,13,obj-ext,6,抓住,NA,761,de1,object relative
3,1,obj-ext,6,揍,NA,741,de1,object relative
3,7,obj-ext,6,救,NA,553,de1,object relative
3,3,obj-ext,6,推,NA,587,de1,object relative
3,2,subj-ext,6,重型機車,NA,511,de1,subject relative
3,15,obj-ext,6,讚美,NA,543,de1,object relative
3,4,subj-ext,6,男孩,NA,484,de1,subject relative
30,2,obj-ext,6,追,NA,1011,de1,object relative
30,11,subj-ext,6,教練,NA,700,de1,subject relative
30,6,obj-ext,6,邀請,NA,769,de1,object relative
30,10,obj-ext,6,抱怨,NA,636,de1,object relative
30,15,subj-ext,6,導演,NA,1194,de1,subject relative
30,5,subj-ext,6,休旅車,NA,854,de1,subject relative
30,16,obj-ext,6,訪問,NA,814,de1,object relative
30,3,subj-ext,6,高中女學生,NA,663,de1,subject relative
30,13,subj-ext,6,女人,NA,536,de1,subject relative
30,7,subj-ext,6,男孩,NA,583,de1,subject relative
30,8,obj-ext,6,推,NA,716,de1,object relative
30,9,subj-ext,6,職業殺手,NA,476,de1,subject relative
30,1,subj-ext,6,酒吧少爺,NA,483,de1,subject relative
30,14,obj-ext,6,約,NA,491,de1,object relative
30,4,obj-ext,6,打,NA,545,de1,object relative
31,16,subj-ext,6,作家,NA,876,de1,subject relative
31,10,subj-ext,6,房東,NA,763,de1,subject relative
31,6,subj-ext,6,男孩,NA,731,de1,subject relative
31,15,obj-ext,6,讚美,NA,548,de1,object relative
31,2,subj-ext,6,重型機車,NA,1333,de1,subject relative
31,7,obj-ext,6,救,NA,588,de1,object relative
31,11,obj-ext,6,揍,NA,651,de1,object relative
31,1,obj-ext,6,揍,NA,603,de1,object relative
31,14,subj-ext,6,機師,NA,531,de1,subject relative
31,3,obj-ext,6,推,NA,571,de1,object relative
31,8,subj-ext,6,職業選手,NA,386,de1,subject relative
31,13,obj-ext,6,抓住,NA,515,de1,object relative
31,9,obj-ext,6,監視,NA,394,de1,object relative
31,5,obj-ext,6,撞,NA,628,de1,object relative
31,4,subj-ext,6,男孩,NA,532,de1,subject relative
32,9,subj-ext,6,職業殺手,NA,640,de1,subject relative
32,3,subj-ext,6,高中女學生,NA,1113,de1,subject relative
32,15,subj-ext,6,導演,NA,676,de1,subject relative
32,8,obj-ext,6,推,NA,1028,de1,object relative
32,16,obj-ext,6,訪問,NA,787,de1,object relative
32,7,subj-ext,6,男孩,NA,820,de1,subject relative
32,10,obj-ext,6,抱怨,NA,1276,de1,object relative
32,6,obj-ext,6,邀請,NA,1072,de1,object relative
32,5,subj-ext,6,休旅車,NA,758,de1,subject relative
32,1,subj-ext,6,酒吧少爺,NA,587,de1,subject relative
32,11,subj-ext,6,教練,NA,731,de1,subject relative
32,13,subj-ext,6,女人,NA,497,de1,subject relative
32,2,obj-ext,6,追,NA,622,de1,object relative
32,4,obj-ext,6,打,NA,457,de1,object relative
32,14,obj-ext,6,約,NA,691,de1,object relative
33,15,obj-ext,6,讚美,NA,763,de1,object relative
33,4,subj-ext,6,男孩,NA,556,de1,subject relative
33,3,obj-ext,6,推,NA,788,de1,object relative
33,7,obj-ext,6,救,NA,596,de1,object relative
33,5,obj-ext,6,撞,NA,620,de1,object relative
33,10,subj-ext,6,房東,NA,1013,de1,subject relative
33,6,subj-ext,6,男孩,NA,514,de1,subject relative
33,2,subj-ext,6,重型機車,NA,556,de1,subject relative
33,1,obj-ext,6,揍,NA,627,de1,object relative
33,16,subj-ext,6,作家,NA,723,de1,subject relative
33,13,obj-ext,6,抓住,NA,568,de1,object relative
33,9,obj-ext,6,監視,NA,832,de1,object relative
33,8,subj-ext,6,職業選手,NA,531,de1,subject relative
33,11,obj-ext,6,揍,NA,618,de1,object relative
33,14,subj-ext,6,機師,NA,595,de1,subject relative
34,4,obj-ext,6,打,NA,853,de1,object relative
34,1,subj-ext,6,酒吧少爺,NA,1171,de1,subject relative
34,6,obj-ext,6,邀請,NA,922,de1,object relative
34,14,obj-ext,6,約,NA,1212,de1,object relative
34,11,subj-ext,6,教練,NA,1808,de1,subject relative
34,10,obj-ext,6,抱怨,NA,1744,de1,object relative
34,2,obj-ext,6,追,NA,1093,de1,object relative
34,15,subj-ext,6,導演,NA,1924,de1,subject relative
34,9,subj-ext,6,職業殺手,NA,1082,de1,subject relative
34,5,subj-ext,6,休旅車,NA,2278,de1,subject relative
34,13,subj-ext,6,女人,NA,697,de1,subject relative
34,3,subj-ext,6,高中女學生,NA,1848,de1,subject relative
34,16,obj-ext,6,訪問,NA,561,de1,object relative
34,8,obj-ext,6,推,NA,924,de1,object relative
34,7,subj-ext,6,男孩,NA,524,de1,subject relative
35,16,subj-ext,6,作家,NA,708,de1,subject relative
35,2,subj-ext,6,重型機車,NA,908,de1,subject relative
35,8,subj-ext,6,職業選手,NA,788,de1,subject relative
35,5,obj-ext,6,撞,NA,925,de1,object relative
35,4,subj-ext,6,男孩,NA,956,de1,subject relative
35,13,obj-ext,6,抓住,NA,860,de1,object relative
35,1,obj-ext,6,揍,NA,1550,de1,object relative
35,14,subj-ext,6,機師,NA,1036,de1,subject relative
35,7,obj-ext,6,救,NA,900,de1,object relative
35,3,obj-ext,6,推,NA,1453,de1,object relative
35,11,obj-ext,6,揍,NA,788,de1,object relative
35,10,subj-ext,6,房東,NA,925,de1,subject relative
35,9,obj-ext,6,監視,NA,1100,de1,object relative
35,6,subj-ext,6,男孩,NA,756,de1,subject relative
35,15,obj-ext,6,讚美,NA,763,de1,object relative
36,2,obj-ext,6,追,NA,1351,de1,object relative
36,11,subj-ext,6,教練,NA,920,de1,subject relative
36,15,subj-ext,6,導演,NA,645,de1,subject relative
36,5,subj-ext,6,休旅車,NA,1343,de1,subject relative
36,16,obj-ext,6,訪問,NA,816,de1,object relative
36,14,obj-ext,6,約,NA,715,de1,object relative
36,3,subj-ext,6,高中女學生,NA,745,de1,subject relative
36,8,obj-ext,6,推,NA,672,de1,object relative
36,1,subj-ext,6,酒吧少爺,NA,667,de1,subject relative
36,13,subj-ext,6,女人,NA,1081,de1,subject relative
36,9,subj-ext,6,職業殺手,NA,765,de1,subject relative
36,10,obj-ext,6,抱怨,NA,531,de1,object relative
36,4,obj-ext,6,打,NA,470,de1,object relative
36,6,obj-ext,6,邀請,NA,512,de1,object relative
36,7,subj-ext,6,男孩,NA,558,de1,subject relative
37,14,subj-ext,6,機師,NA,2368,de1,subject relative
37,6,subj-ext,6,男孩,NA,1477,de1,subject relative
37,8,subj-ext,6,職業選手,NA,1622,de1,subject relative
37,16,subj-ext,6,作家,NA,1445,de1,subject relative
37,11,obj-ext,6,揍,NA,1318,de1,object relative
37,5,obj-ext,6,撞,NA,1381,de1,object relative
37,7,obj-ext,6,救,NA,1541,de1,object relative
37,3,obj-ext,6,推,NA,1485,de1,object relative
37,4,subj-ext,6,男孩,NA,1188,de1,subject relative
37,9,obj-ext,6,監視,NA,1181,de1,object relative
37,13,obj-ext,6,抓住,NA,996,de1,object relative
37,15,obj-ext,6,讚美,NA,1044,de1,object relative
37,1,obj-ext,6,揍,NA,1301,de1,object relative
37,10,subj-ext,6,房東,NA,1333,de1,subject relative
37,2,subj-ext,6,重型機車,NA,1646,de1,subject relative
38,16,subj-ext,6,作家,NA,619,de1,subject relative
38,2,subj-ext,6,重型機車,NA,588,de1,subject relative
38,10,subj-ext,6,房東,NA,1476,de1,subject relative
38,15,obj-ext,6,讚美,NA,820,de1,object relative
38,4,subj-ext,6,男孩,NA,636,de1,subject relative
38,13,obj-ext,6,抓住,NA,596,de1,object relative
38,6,subj-ext,6,男孩,NA,499,de1,subject relative
38,9,obj-ext,6,監視,NA,843,de1,object relative
38,8,subj-ext,6,職業選手,NA,1012,de1,subject relative
38,1,obj-ext,6,揍,NA,532,de1,object relative
38,7,obj-ext,6,救,NA,804,de1,object relative
38,11,obj-ext,6,揍,NA,828,de1,object relative
38,3,obj-ext,6,推,NA,612,de1,object relative
38,5,obj-ext,6,撞,NA,508,de1,object relative
38,14,subj-ext,6,機師,NA,1028,de1,subject relative
39,2,subj-ext,6,重型機車,NA,2380,de1,subject relative
39,16,subj-ext,6,作家,NA,964,de1,subject relative
39,7,obj-ext,6,救,NA,761,de1,object relative
39,13,obj-ext,6,抓住,NA,658,de1,object relative
39,6,subj-ext,6,男孩,NA,1788,de1,subject relative
39,5,obj-ext,6,撞,NA,1028,de1,object relative
39,10,subj-ext,6,房東,NA,1468,de1,subject relative
39,11,obj-ext,6,揍,NA,3140,de1,object relative
39,9,obj-ext,6,監視,NA,4034,de1,object relative
39,15,obj-ext,6,讚美,NA,628,de1,object relative
39,14,subj-ext,6,機師,NA,524,de1,subject relative
39,1,obj-ext,6,揍,NA,1780,de1,object relative
39,3,obj-ext,6,推,NA,980,de1,object relative
39,4,subj-ext,6,男孩,NA,868,de1,subject relative
39,8,subj-ext,6,職業選手,NA,444,de1,subject relative
4,9,subj-ext,6,職業殺手,NA,1261,de1,subject relative
4,8,obj-ext,6,推,NA,924,de1,object relative
4,1,subj-ext,6,酒吧少爺,NA,1036,de1,subject relative
4,3,subj-ext,6,高中女學生,NA,796,de1,subject relative
4,6,obj-ext,6,邀請,NA,750,de1,object relative
4,2,obj-ext,6,追,NA,1413,de1,object relative
4,4,obj-ext,6,打,NA,579,de1,object relative
4,16,obj-ext,6,訪問,NA,1806,de1,object relative
4,11,subj-ext,6,教練,NA,2070,de1,subject relative
4,10,obj-ext,6,抱怨,NA,1681,de1,object relative
4,7,subj-ext,6,男孩,NA,820,de1,subject relative
4,5,subj-ext,6,休旅車,NA,1286,de1,subject relative
4,13,subj-ext,6,女人,NA,1125,de1,subject relative
4,14,obj-ext,6,約,NA,531,de1,object relative
4,15,subj-ext,6,導演,NA,1196,de1,subject relative
40,4,obj-ext,6,打,NA,1252,de1,object relative
40,1,subj-ext,6,酒吧少爺,NA,1202,de1,subject relative
40,3,subj-ext,6,高中女學生,NA,1004,de1,subject relative
40,15,subj-ext,6,導演,NA,1172,de1,subject relative
40,9,subj-ext,6,職業殺手,NA,1028,de1,subject relative
40,16,obj-ext,6,訪問,NA,660,de1,object relative
40,8,obj-ext,6,推,NA,828,de1,object relative
40,10,obj-ext,6,抱怨,NA,748,de1,object relative
40,2,obj-ext,6,追,NA,812,de1,object relative
40,7,subj-ext,6,男孩,NA,652,de1,subject relative
40,5,subj-ext,6,休旅車,NA,684,de1,subject relative
40,13,subj-ext,6,女人,NA,538,de1,subject relative
40,6,obj-ext,6,邀請,NA,652,de1,object relative
40,14,obj-ext,6,約,NA,626,de1,object relative
40,11,subj-ext,6,教練,NA,699,de1,subject relative
5,11,obj-ext,6,揍,NA,802,de1,object relative
5,16,subj-ext,6,作家,NA,761,de1,subject relative
5,4,subj-ext,6,男孩,NA,870,de1,subject relative
5,1,obj-ext,6,揍,NA,1099,de1,object relative
5,5,obj-ext,6,撞,NA,1007,de1,object relative
5,14,subj-ext,6,機師,NA,666,de1,subject relative
5,15,obj-ext,6,讚美,NA,781,de1,object relative
5,13,obj-ext,6,抓住,NA,1091,de1,object relative
5,8,subj-ext,6,職業選手,NA,973,de1,subject relative
5,3,obj-ext,6,推,NA,1327,de1,object relative
5,9,obj-ext,6,監視,NA,845,de1,object relative
5,10,subj-ext,6,房東,NA,853,de1,subject relative
5,2,subj-ext,6,重型機車,NA,992,de1,subject relative
5,7,obj-ext,6,救,NA,555,de1,object relative
5,6,subj-ext,6,男孩,NA,784,de1,subject relative
6,1,subj-ext,6,酒吧少爺,NA,1594,de1,subject relative
