index,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance,Height
47,19.531,5043,376,2,64,16,Female,Yes,Yes,Asian,1241,164.4257024206896
48,44.646,4431,320,2,49,15,Male,Yes,Yes,Caucasian,797,161.69516442413203
49,44.522,2252,205,6,72,15,Male,No,Yes,Asian,0,163.88395937187292
50,43.479,4569,354,4,49,13,Male,Yes,Yes,African American,902,162.43555136539396
51,36.362,5183,376,3,49,15,Male,No,Yes,African American,654,165.72604055479752
52,39.705,3969,301,2,27,20,Male,No,Yes,African American,211,171.94920696348382
53,44.205,5441,394,1,32,12,Male,No,Yes,Caucasian,607,165.18758220666626
54,16.304,5466,413,4,66,10,Male,No,Yes,Asian,957,162.59718599640092
55,15.333,1499,138,2,47,9,Female,No,Yes,Asian,0,162.25719492364763
56,32.916,1786,154,2,60,8,Female,No,Yes,Asian,0,159.8238273053801
57,57.1,4742,372,7,79,18,Female,No,Yes,Asian,379,171.86994901507947
58,76.273,4779,367,4,65,14,Female,No,Yes,Caucasian,133,163.68942938564675
59,10.354,3480,281,2,70,17,Male,No,Yes,Caucasian,333,168.15545369942868
60,51.872,5294,390,4,81,17,Female,No,No,Caucasian,531,171.11622091216705
61,35.51,5198,364,2,35,20,Female,No,No,Asian,631,173.90076742036703
62,21.238,3089,254,3,59,10,Female,No,No,Caucasian,108,171.86443531750498
63,30.682,1671,160,2,77,7,Female,No,No,Caucasian,0,159.32775561940625
64,14.132,2998,251,4,75,17,Male,No,No,Caucasian,133,171.15677049052567
65,32.164,2937,223,2,79,15,Female,No,Yes,African American,0,166.0471183876566
66,12,4160,320,4,28,14,Female,No,Yes,Caucasian,602,167.38486401208283
67,113.829,9704,694,4,38,13,Female,No,Yes,Asian,1388,174.35083124090295
68,11.187,5099,380,4,69,16,Female,No,No,African American,889,167.15199043130426
69,27.847,5619,418,2,78,15,Female,No,Yes,Caucasian,822,170.91677713487343
70,49.502,6819,505,4,55,14,Male,No,Yes,Caucasian,1084,168.79792397842482
71,24.889,3954,318,4,75,12,Male,No,Yes,Caucasian,357,165.7271528162012
72,58.781,7402,538,2,81,12,Female,No,Yes,Asian,1103,172.92319528347403
73,22.939,4923,355,1,47,18,Female,No,Yes,Asian,663,168.86337114913204
74,23.989,4523,338,4,31,15,Male,No,No,Caucasian,601,167.7663742673721
75,16.103,5390,418,4,45,10,Female,No,Yes,Caucasian,945,169.26871956309108
76,33.017,3180,224,2,28,16,Male,No,Yes,African American,29,170.88754812811595
77,30.622,3293,251,1,68,16,Male,Yes,No,Caucasian,532,165.4208335857411
78,20.936,3254,253,1,30,15,Female,No,No,Asian,145,171.294701201577
79,110.968,6662,468,3,45,11,Female,No,Yes,Caucasian,391,166.14304687938784
80,15.354,2101,171,2,65,14,Male,No,No,Asian,0,164.37524897067465
81,27.369,3449,288,3,40,9,Female,No,Yes,Caucasian,162,159.01927984000477
82,53.48,4263,317,1,83,15,Male,No,No,Caucasian,99,167.85474638024544
83,23.672,4433,344,3,63,11,Male,No,No,Caucasian,503,168.03584604935963
84,19.225,1433,122,3,38,14,Female,No,No,Caucasian,0,164.62276579018533
85,43.54,2906,232,4,69,11,Male,No,No,Caucasian,0,170.14986586380397
86,152.298,12066,828,4,41,12,Female,No,Yes,Asian,1779,172.57229685793237
87,55.367,6340,448,1,33,15,Male,No,Yes,Caucasian,815,169.49076381587165
88,11.741,2271,182,4,59,12,Female,No,No,Asian,0,171.8913822011312
89,15.56,4307,352,4,57,8,Male,No,Yes,African American,579,161.5631395359815
90,59.53,7518,543,3,52,9,Female,No,No,African American,1176,168.6384576772388
91,20.191,5767,431,4,42,16,Male,No,Yes,African American,1023,171.79990882543993
92,48.498,6040,456,3,47,16,Male,No,Yes,Caucasian,812,166.39503405829007
93,30.733,2832,249,4,51,13,Male,No,No,Caucasian,0,166.26073484473395
94,16.479,5435,388,2,26,16,Male,No,No,African American,937,168.95138470763834
95,38.009,3075,245,3,45,15,Female,No,No,African American,0,166.44151604878402
96,14.084,855,120,5,46,17,Female,No,Yes,African American,0,167.6637858490161
97,14.312,5382,367,1,59,17,Male,Yes,No,Asian,1380,168.95195492207625
98,26.067,3388,266,4,74,17,Female,No,Yes,African American,155,166.0583026167645
99,36.295,2963,241,2,68,14,Female,Yes,No,African American,375,169.69266331367606
100,83.851,8494,607,5,47,18,Male,No,No,Caucasian,1311,169.35466546611872
101,21.153,3736,256,1,41,11,Male,No,No,Caucasian,298,164.9038822419842
102,17.976,2433,190,3,70,16,Female,Yes,No,Caucasian,431,169.2623776258981
103,68.713,7582,531,2,56,16,Male,Yes,No,Caucasian,1587,175.1349285848005
104,146.183,9540,682,6,66,15,Male,No,No,Caucasian,1050,165.29373809065885
105,15.846,4768,365,4,53,12,Female,No,No,Caucasian,745,168.14410666190972
106,12.031,3182,259,2,58,18,Female,No,Yes,Caucasian,210,169.9748720436832
107,16.819,1337,115,2,74,15,Male,No,Yes,Asian,0,167.11124019693702
108,39.11,3189,263,3,72,12,Male,No,No,Asian,0,174.54680460609165
109,107.986,6033,449,4,64,14,Male,No,Yes,Caucasian,227,172.50945477984283
110,13.561,3261,279,5,37,19,Male,No,Yes,Asian,297,167.53341634034834
111,34.537,3271,250,3,57,17,Female,No,Yes,Asian,47,166.62572183550472
112,28.575,2959,231,2,60,11,Female,No,No,African American,0,169.18790687673464
113,46.007,6637,491,4,42,14,Male,No,Yes,Caucasian,1046,172.02134614443943
114,69.251,6386,474,4,30,12,Female,No,Yes,Asian,768,170.40892255432664
115,16.482,3326,268,4,41,15,Male,No,No,Caucasian,271,166.07113958337973
116,40.442,4828,369,5,81,8,Female,No,No,African American,510,167.9133098134642
117,35.177,2117,186,3,62,16,Female,No,No,Caucasian,0,167.4509757096492
118,91.362,9113,626,1,47,17,Male,No,Yes,Asian,1341,176.58214058439495
119,27.039,2161,173,3,40,17,Female,No,No,Caucasian,0,165.4557870238105
120,23.012,1410,137,3,81,16,Male,No,No,Caucasian,0,167.4730808171641
121,27.241,1402,128,2,67,15,Female,No,Yes,Asian,0,163.9765457551563
122,148.08,8157,599,2,83,13,Male,No,Yes,Caucasian,454,166.39154360520615
123,62.602,7056,481,1,84,11,Female,No,No,Caucasian,904,168.23364374519005
124,11.808,1300,117,3,77,14,Female,No,No,African American,0,165.9872735343089
125,29.564,2529,192,1,30,12,Female,No,Yes,Caucasian,0,165.08338254601358
126,27.578,2531,195,1,34,15,Female,No,Yes,Caucasian,0,172.18998905595754
127,26.427,5533,433,5,50,15,Female,Yes,Yes,Asian,1404,169.10392210513288
128,57.202,3411,259,3,72,11,Female,No,No,Caucasian,0,170.5982878911312
129,123.299,8376,610,2,89,17,Male,Yes,No,African American,1259,167.76941296533295
130,18.145,3461,279,3,56,15,Male,No,Yes,African American,255,167.20689396504122
131,23.793,3821,281,4,56,12,Female,Yes,Yes,African American,868,162.9279894951324
132,10.726,1568,162,5,46,19,Male,No,Yes,Asian,0,172.72623650341032
133,23.283,5443,407,4,49,13,Male,No,Yes,African American,912,165.21840228311376
134,21.455,5829,427,4,80,12,Female,No,Yes,African American,1018,172.4324680981243
135,34.664,5835,452,3,77,15,Female,No,Yes,African American,835,165.99867756746042
136,44.473,3500,257,3,81,16,Female,No,No,African American,8,167.9971448146714
137,54.663,4116,314,2,70,8,Female,No,No,African American,75,157.3622559177392
138,36.355,3613,278,4,35,9,Male,No,Yes,Asian,187,165.3491426625176
139,21.374,2073,175,2,74,11,Female,No,Yes,Caucasian,0,166.10674520735074
140,107.841,10384,728,3,87,7,Male,No,No,African American,1597,162.62597630141974
141,39.831,6045,459,3,32,12,Female,Yes,Yes,African American,1425,167.2398716144986
142,91.876,6754,483,2,33,10,Male,No,Yes,Caucasian,605,166.73060876127772
143,103.893,7416,549,3,84,17,Male,No,No,Asian,669,164.77841086081241
144,19.636,4896,387,3,64,10,Female,No,No,African American,710,169.66133127539712
145,17.392,2748,228,3,32,14,Male,No,Yes,Caucasian,68,163.67631900269203
146,19.529,4673,341,2,51,14,Male,No,No,Asian,642,167.49197494721486
147,17.055,5110,371,3,55,15,Female,No,Yes,Caucasian,805,170.35097606320258
148,23.857,1501,150,3,56,16,Male,No,Yes,Caucasian,0,165.83829048497773
149,15.184,2420,192,2,69,11,Female,No,Yes,Caucasian,0,168.44596808115426
150,13.444,886,121,5,44,10,Male,No,Yes,Asian,0,165.61522438072615
151,63.931,5728,435,3,28,14,Female,No,Yes,African American,581,173.070756753283
152,35.864,4831,353,3,66,13,Female,No,Yes,Caucasian,534,165.90929460126128
153,41.419,2120,184,4,24,11,Female,Yes,No,Caucasian,156,162.6009089306982
154,92.112,4612,344,3,32,17,Male,No,No,Caucasian,0,170.15869930091364
155,55.056,3155,235,2,31,16,Male,No,Yes,African American,0,167.5466305039581
156,19.537,1362,143,4,34,9,Female,No,Yes,Asian,0,164.22867566887044
157,31.811,4284,338,5,75,13,Female,No,Yes,Caucasian,429,169.15028041007847
158,56.256,5521,406,2,72,16,Female,Yes,Yes,Caucasian,1020,170.61094969043833
159,42.357,5550,406,2,83,12,Female,No,Yes,Asian,653,167.94521341973484
160,53.319,3000,235,3,53,13,Male,No,No,Asian,0,169.0084049362826
161,12.238,4865,381,5,67,11,Female,No,No,Caucasian,836,169.53544515925557
162,31.353,1705,160,3,81,14,Male,No,Yes,Caucasian,0,169.36378365871795
163,63.809,7530,515,1,56,12,Male,No,Yes,Caucasian,1086,171.6439555166118
164,13.676,2330,203,5,80,16,Female,No,No,African American,0,171.65538801451393
165,76.782,5977,429,4,44,12,Male,No,Yes,Asian,548,167.66419958292167
166,25.383,4527,367,4,46,11,Male,No,Yes,Caucasian,570,165.8052623078351
167,35.691,2880,214,2,35,15,Male,No,No,African American,0,164.01019856873626
168,29.403,2327,178,1,37,14,Female,No,Yes,Caucasian,0,166.41953152916366
169,27.47,2820,219,1,32,11,Female,No,Yes,Asian,0,163.60556623109102
170,27.33,6179,459,4,36,12,Female,No,Yes,Caucasian,1099,169.39507283679706
171,34.772,2021,167,3,57,9,Male,No,No,Asian,0,164.80343196082575
172,36.934,4270,299,1,63,9,Female,No,Yes,Caucasian,283,164.70202956884
173,76.348,4697,344,4,60,18,Male,No,No,Asian,108,166.5077093094805
174,14.887,4745,339,3,58,12,Male,No,Yes,African American,724,167.7223088833223
175,121.834,10673,750,3,54,16,Male,No,No,African American,1573,169.5965662856318
176,30.132,2168,206,3,52,17,Male,No,No,Caucasian,0,164.2466962530856
177,24.05,2607,221,4,32,18,Male,No,Yes,Caucasian,0,164.30357115613685
178,22.379,3965,292,2,34,14,Female,No,Yes,Asian,384,171.14604720866177
179,28.316,4391,316,2,29,10,Female,No,No,Caucasian,453,164.7150530639592
180,58.026,7499,560,5,67,11,Female,No,No,Caucasian,1237,166.12674189078228
181,10.635,3584,294,5,69,16,Male,No,Yes,Asian,423,167.44178305425604
182,46.102,5180,382,3,81,12,Male,No,Yes,African American,516,166.002996182237
183,58.929,6420,459,2,66,9,Female,No,Yes,African American,789,165.9740150925114
184,80.861,4090,335,3,29,15,Female,No,Yes,Asian,0,167.2785572473365
185,158.889,11589,805,1,62,17,Female,No,Yes,Caucasian,1448,170.29606649973556
186,30.42,4442,316,1,30,14,Female,No,No,African American,450,164.76698544949005
187,36.472,3806,309,2,52,13,Male,No,No,African American,188,169.59738983546455
188,23.365,2179,167,2,75,15,Male,No,No,Asian,0,167.061913518091
189,83.869,7667,554,2,83,11,Male,No,No,African American,930,164.15465263129147
190,58.351,4411,326,2,85,16,Female,No,Yes,Caucasian,126,171.0936866733362
191,55.187,5352,385,4,50,17,Female,No,Yes,Caucasian,538,164.18346765809852
192,124.29,9560,701,3,52,17,Female,Yes,No,Asian,1687,170.02207846698025
193,28.508,3933,287,4,56,14,Male,No,Yes,Asian,336,166.9655238805484
194,130.209,10088,730,7,39,19,Female,No,Yes,Caucasian,1426,169.27952464294722
195,30.406,2120,181,2,79,14,Male,No,Yes,African American,0,167.90581183900082
196,23.883,5384,398,2,73,16,Female,No,Yes,African American,802,164.58065431444842
197,93.039,7398,517,1,67,12,Male,No,Yes,African American,749,173.2473752205757
198,50.699,3977,304,2,84,17,Female,No,No,African American,69,169.90949838460165
199,27.349,2000,169,4,51,16,Female,No,Yes,African American,0,172.7303667189079
200,10.403,4159,310,3,43,7,Male,No,Yes,Asian,571,167.6189223160766
201,23.949,5343,383,2,40,18,Male,No,Yes,African American,829,164.65564949213152
202,73.914,7333,529,6,67,15,Female,No,Yes,Caucasian,1048,171.56419816582837
203,21.038,1448,145,2,58,13,Female,No,Yes,Caucasian,0,167.77807817833838
204,68.206,6784,499,5,40,16,Female,Yes,No,African American,1411,172.7822976944042
205,57.337,5310,392,2,45,7,Female,No,No,Caucasian,456,169.40992326378597
206,10.793,3878,321,8,29,13,Male,No,No,Caucasian,638,168.85939325358422
207,23.45,2450,180,2,78,13,Male,No,No,Caucasian,0,168.7605604860065
208,10.842,4391,358,5,37,10,Female,Yes,Yes,Caucasian,1216,165.0053799473232
209,51.345,4327,320,3,46,15,Male,No,No,African American,230,173.0715224680696
210,151.947,9156,642,2,91,11,Female,No,Yes,African American,732,163.83915935237525
211,24.543,3206,243,2,62,12,Female,No,Yes,Caucasian,95,161.2314835792419
212,29.567,5309,397,3,25,15,Male,No,No,Caucasian,799,164.869228858382
213,39.145,4351,323,2,66,13,Male,No,Yes,Caucasian,308,170.41839743972514
214,39.422,5245,383,2,44,19,Male,No,No,African American,637,166.67330701374314
215,34.909,5289,410,2,62,16,Female,No,Yes,Caucasian,681,167.90332843074404
216,41.025,4229,337,3,79,19,Female,No,Yes,Caucasian,246,169.80460851201525
217,15.476,2762,215,3,60,18,Male,No,No,Asian,52,167.14921726557833
218,12.456,5395,392,3,65,14,Male,No,Yes,Caucasian,955,162.2074422734696
219,10.627,1647,149,2,71,10,Female,Yes,Yes,Asian,195,169.0607343114829
220,38.954,5222,370,4,76,13,Female,No,No,Caucasian,653,167.8362592933198
221,44.847,5765,437,3,53,13,Female,Yes,No,Asian,1246,169.8932491541487
222,98.515,8760,633,5,78,11,Female,No,No,African American,1230,168.97430221807664
223,33.437,6207,451,4,44,9,Male,Yes,No,Caucasian,1549,165.62286666292067
224,27.512,4613,344,5,72,17,Male,No,Yes,Asian,573,169.3894170653225
225,121.709,7818,584,4,50,6,Male,No,Yes,Caucasian,701,169.39795017198395
226,15.079,5673,411,4,28,15,Female,No,Yes,Asian,1075,164.38251911983664
227,59.879,6906,527,6,78,15,Female,No,No,Caucasian,1032,165.96472693991893
228,66.989,5614,430,3,47,14,Female,No,Yes,Caucasian,482,172.4612096355182
229,69.165,4668,341,2,34,11,Female,No,No,African American,156,164.46984263848023
230,69.943,7555,547,3,76,9,Male,No,Yes,Asian,1058,167.84425653917364
231,33.214,5137,387,3,59,9,Male,No,No,African American,661,162.46598044899636
232,25.124,4776,378,4,29,12,Male,No,Yes,Caucasian,657,169.6174726271723
233,15.741,4788,360,1,39,14,Male,No,Yes,Asian,689,169.98127954402278
234,11.603,2278,187,3,71,11,Male,No,Yes,Caucasian,0,165.34037984458624
235,69.656,8244,579,3,41,14,Male,No,Yes,African American,1329,174.35818961613987
236,10.503,2923,232,3,25,18,Female,No,Yes,African American,191,167.13838866932699
237,42.529,4986,369,2,37,11,Male,No,Yes,Asian,489,166.44900651605218
238,60.579,5149,388,5,38,15,Male,No,Yes,Asian,443,171.9793823676124
239,26.532,2910,236,6,58,19,Female,No,Yes,Caucasian,52,170.36095842000591
240,27.952,3557,263,1,35,13,Female,No,Yes,Asian,163,169.90111905845032
241,29.705,3351,262,5,71,14,Female,No,Yes,Asian,148,171.97472644931122
242,15.602,906,103,2,36,11,Male,No,Yes,African American,0,166.28851259976915
243,20.918,1233,128,3,47,18,Female,Yes,Yes,Asian,16,169.88670922456535
244,58.165,6617,460,1,56,12,Female,No,Yes,Caucasian,856,166.42777064914753
245,22.561,1787,147,4,66,15,Female,No,No,Caucasian,0,168.6119002307649
246,34.509,2001,189,5,80,18,Female,No,Yes,African American,0,167.34356904762367
247,19.588,3211,265,4,59,14,Female,No,No,Asian,199,171.34353546619056
248,36.364,2220,188,3,50,19,Male,No,No,Caucasian,0,168.54319473220087
249,15.717,905,93,1,38,16,Male,Yes,Yes,Caucasian,0,167.246687120564
250,22.574,1551,134,3,43,13,Female,Yes,Yes,Caucasian,98,166.46557822641637
251,10.363,2430,191,2,47,18,Female,No,Yes,Asian,0,162.3533116635967
252,28.474,3202,267,5,66,12,Male,No,Yes,Caucasian,132,163.89315664924706
253,72.945,8603,621,3,64,8,Female,No,No,Caucasian,1355,173.82319510805183
254,85.425,5182,402,6,60,12,Male,No,Yes,African American,218,169.84901456588332
255,36.508,6386,469,4,79,6,Female,No,Yes,Caucasian,1048,166.45019904864856
256,58.063,4221,304,3,50,8,Male,No,No,African American,118,165.55761521523797
257,25.936,1774,135,2,71,14,Female,No,No,Asian,0,166.40613733893878
258,15.629,2493,186,1,60,14,Male,No,Yes,Asian,0,168.52087402007888
259,41.4,2561,215,2,36,14,Male,No,Yes,Caucasian,0,169.57596636140428
260,33.657,6196,450,6,55,9,Female,No,No,Caucasian,1092,164.26517846583906
261,67.937,5184,383,4,63,12,Male,No,Yes,Asian,345,167.30553752780315
262,180.379,9310,665,3,67,8,Female,Yes,Yes,Asian,1050,164.4691735147409
263,10.588,4049,296,1,66,13,Female,No,Yes,Caucasian,465,166.27144712520263
264,29.725,3536,270,2,52,15,Female,No,No,African American,133,169.50258339445293
265,27.999,5107,380,1,55,10,Male,No,Yes,Caucasian,651,162.7163084919875
266,40.885,5013,379,3,46,13,Female,No,Yes,African American,549,171.0347282999927
267,88.83,4952,360,4,86,16,Female,No,Yes,Caucasian,15,172.44533969664872
268,29.638,5833,433,3,29,15,Female,No,Yes,Asian,942,168.9406265311782
269,25.988,1349,142,4,82,12,Male,No,No,Caucasian,0,166.87470069674262
270,39.055,5565,410,4,48,18,Female,No,Yes,Caucasian,772,173.84131808409322
271,15.866,3085,217,1,39,13,Male,No,No,Caucasian,136,165.39008716348806
272,44.978,4866,347,1,30,10,Female,No,No,Caucasian,436,164.14156463307157
273,30.413,3690,299,2,25,15,Female,Yes,No,Asian,728,164.586502116075
274,16.751,4706,353,6,48,14,Male,Yes,No,Asian,1255,165.2376142117336
275,30.55,5869,439,5,81,9,Female,No,No,African American,967,164.93288563353664
276,163.329,8732,636,3,50,14,Male,No,Yes,Caucasian,529,171.02311907605613
277,23.106,3476,257,2,50,15,Female,No,No,Caucasian,209,165.11971704962053
278,41.532,5000,353,2,50,12,Male,No,Yes,Caucasian,531,166.82747696343966
279,128.04,6982,518,2,78,11,Female,No,Yes,Caucasian,250,168.65268372713646
280,54.319,3063,248,3,59,8,Female,Yes,No,Caucasian,269,161.66552150079326
281,53.401,5319,377,3,35,12,Female,No,No,African American,541,172.0460888417542
282,36.142,1852,183,3,33,13,Female,No,No,African American,0,170.53020703100367
283,63.534,8100,581,2,50,17,Female,No,Yes,Caucasian,1298,165.1785842476041
284,49.927,6396,485,3,75,17,Female,No,Yes,Caucasian,890,168.40306503318567
285,14.711,2047,167,2,67,6,Male,No,Yes,Caucasian,0,163.3317180577452
286,18.967,1626,156,2,41,11,Female,No,Yes,Asian,0,166.37611195252632
287,18.036,1552,142,2,48,15,Female,No,No,Caucasian,0,163.59775912454174
288,60.449,3098,272,4,69,8,Male,No,Yes,Caucasian,0,164.41805423277836
289,16.711,5274,387,3,42,16,Female,No,Yes,Asian,863,171.39858440026237
290,10.852,3907,296,2,30,9,Male,No,No,Caucasian,485,169.19062692008356
291,26.37,3235,268,5,78,11,Male,No,Yes,Asian,159,167.25378799411
292,24.088,3665,287,4,56,13,Female,No,Yes,Caucasian,309,168.40273751607063
293,51.532,5096,380,2,31,15,Male,No,Yes,Caucasian,481,166.71041024835813
294,140.672,11200,817,7,46,9,Male,No,Yes,African American,1677,168.0470994250682
295,42.915,2532,205,4,42,13,Male,No,Yes,Asian,0,170.38658102949435
296,27.272,1389,149,5,67,10,Female,No,Yes,Caucasian,0,165.6413509856503
297,65.896,5140,370,1,49,17,Female,No,Yes,Caucasian,293,167.2637236457981
298,55.054,4381,321,3,74,17,Male,No,Yes,Asian,188,173.8853235400896
299,20.791,2672,204,1,70,18,Female,No,No,African American,0,166.8073255130499
300,24.919,5051,372,3,76,11,Female,No,Yes,African American,711,170.74250321035495
301,21.786,4632,355,1,50,17,Male,No,Yes,Caucasian,580,170.83464449199684
302,31.335,3526,289,3,38,7,Female,No,No,Caucasian,172,166.5499707812777
303,59.855,4964,365,1,46,13,Female,No,Yes,Caucasian,295,167.02273851246255
304,44.061,4970,352,1,79,11,Male,No,Yes,African American,414,169.97677291528242
305,82.706,7506,536,2,64,13,Female,No,Yes,Asian,905,164.13065848970805
306,24.46,1924,165,2,50,14,Female,No,Yes,Asian,0,163.99220450358231
307,45.12,3762,287,3,80,8,Male,No,Yes,Caucasian,70,165.10230434474187
308,75.406,3874,298,3,41,14,Female,No,Yes,Asian,0,168.27088106797126
309,14.956,4640,332,2,33,6,Male,No,No,Asian,681,165.88089602206117
310,75.257,7010,494,3,34,18,Female,No,Yes,Caucasian,885,169.5788862046879
311,33.694,4891,369,1,52,16,Male,Yes,No,African American,1036,168.003686577319
312,23.375,5429,396,3,57,15,Female,No,Yes,Caucasian,844,170.20480575311288
313,27.825,5227,386,6,63,11,Male,No,Yes,Caucasian,823,165.4411796014739
314,92.386,7685,534,2,75,18,Female,No,Yes,Asian,843,164.1625785323654
315,115.52,9272,656,2,69,14,Male,No,No,African American,1140,170.1528943106781
316,14.479,3907,296,3,43,16,Male,No,Yes,Caucasian,463,171.04579329815414
317,52.179,7306,522,2,57,14,Male,No,No,Asian,1142,172.23025399840276
318,68.462,4712,340,2,71,16,Male,No,Yes,Caucasian,136,167.93054727866797
319,18.951,1485,129,3,82,13,Female,No,No,Caucasian,0,166.2646848852741
320,27.59,2586,229,5,54,16,Male,No,Yes,African American,0,172.42026230307803
321,16.279,1160,126,3,78,13,Male,Yes,Yes,African American,5,164.37609569088895
322,25.078,3096,236,2,27,15,Female,No,Yes,Caucasian,81,167.3927783330616
323,27.229,3484,282,6,51,11,Male,No,No,Caucasian,265,168.1294452509839
324,182.728,13913,982,4,98,17,Male,No,Yes,Caucasian,1999,171.17637813871647
325,31.029,2863,223,2,66,17,Male,Yes,Yes,Asian,415,166.93277426149868
326,17.765,5072,364,1,66,12,Female,No,Yes,Caucasian,732,169.383521131644
327,125.48,10230,721,3,82,16,Male,No,Yes,Caucasian,1361,169.02610668401005
328,49.166,6662,508,3,68,14,Female,No,No,Asian,984,170.3782321574641
329,41.192,3673,297,3,54,16,Female,No,Yes,Caucasian,121,164.7617831842956
330,94.193,7576,527,2,44,16,Female,No,Yes,Caucasian,846,163.99197425332497
331,20.405,4543,329,2,72,17,Male,Yes,No,Asian,1054,170.91165337395782
332,12.581,3976,291,2,48,16,Male,No,Yes,Caucasian,474,168.0882858510402
333,62.328,5228,377,3,83,15,Male,No,No,Caucasian,380,167.40441147455502
334,21.011,3402,261,2,68,17,Male,No,Yes,African American,182,166.99289579408887
335,24.23,4756,351,2,64,15,Female,No,Yes,Caucasian,594,171.48167052211576
336,24.314,3409,270,2,23,7,Female,No,Yes,Caucasian,194,162.1051354827328
337,32.856,5884,438,4,68,13,Male,No,No,Caucasian,926,171.23303755978245
338,12.414,855,119,3,32,12,Male,No,Yes,African American,0,162.73777477149164
339,41.365,5303,377,1,45,14,Male,No,No,Caucasian,606,168.00828182968064
340,149.316,10278,707,1,80,16,Male,No,No,African American,1107,170.57300036648027
341,27.794,3807,301,4,35,8,Female,No,Yes,African American,320,167.57496610884917
342,13.234,3922,299,2,77,17,Female,No,Yes,Caucasian,426,163.45409426896111
343,14.595,2955,260,5,37,9,Male,No,Yes,African American,204,165.03549331941394
344,10.735,3746,280,2,44,17,Female,No,Yes,Caucasian,410,168.29154037575816
345,48.218,5199,401,7,39,10,Male,No,Yes,Asian,633,168.7698905615602
